tank100_temperature,tank200_temperature,tank300_temperature,tank400_temperature,tank100_pressure,tank200_pressure,tank300_pressure,tank400_pressure,tank100_station3_program_run,tank200_station3_program_run,tank300_station3_program_run,tank400_station3_program_run,tank100_station4_program_run,tank200_station4_program_run,tank300_station4_program_run,tank400_station4_program_run,tank100_station5_program_run,tank200_station5_program_run,tank300_station5_program_run,tank400_station5_program_run,tank100_station3_valve_run,tank200_station3_valve_run,tank300_station3_valve_run,all_tanks_station3_flow_rate,all_tanks_station3_quantity_selected,tank100_station4_flow_rate,tank100_station4_quantity_selected,tank200_station4_flow_rate,tank200_station4_quantity_selected,tank300_station4_quantity_selected,tank300_station4_flow_rate,tank400_station4_quantity_selected,tank400_station4_flow_rate,tank100_station5_quantity_selected,tank100_station5_flow_rate,tank200_station5_quantity_selected,tank200_station5_flow_rate,tank300_station5_quantity_selected,tank300_station5_flow_rate,tank400_station5_quantity_selected,tank400_station5_flow_rate,Timestamp
71.30419922,28.07491493,70.7407608,71.90869141,1.729644775,1.669113159,-0.056243896,1.418670654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042648315,3240,0.01,0,0.000534058,0,0,0.021133423,0,-0.04699707,1667,-0.044326782,0,-0.051574707,1048,-0.078964233,1119,-0.042495728,4/30/24 15:43
71.30355835,28.07510757,70.73902893,71.91044617,2.10874939,1.668273926,-0.047393799,1.419708252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052032471,3240,0.01,0,-0.003128052,0,0,0.018997192,0,-0.052566528,1667,-0.043334961,0,-0.054626465,1048,-0.067367554,1119,-0.038299561,4/30/24 15:43
71.30317688,28.07439232,70.74298096,71.91044617,2.41065979,4.193313599,-0.028686523,1.302017212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033340454,3240,0.01,0,-0.001678467,0,0,0.01991272,0,-0.049667358,1667,-0.040283203,0,-0.051116943,1048,-0.071334839,1119,-0.041732788,4/30/24 15:43
71.32523346,28.07329369,70.74185944,71.90959167,10.57542515,19.88066101,12.7967062,29.32322693,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.544265747,191,0.01,0,-0.00289917,0,0,0.020980835,0,-0.053863525,1667,-0.05355835,0,-0.053710938,1048,-0.07850647,1119,-0.041885376,4/30/24 15:43
71.29727173,28.07062912,70.74143982,71.91477966,11.34417725,19.78314209,12.85098267,38.11035156,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.299194336,482,0.01,0,-0.002365112,0,0,0.02532959,0,-0.051422119,1667,-0.050811768,0,-0.052947998,1048,-0.080795288,1119,-0.045089722,4/30/24 15:43
71.25964355,28.07625961,70.75569916,71.91091156,10.28858852,19.5348053,12.83442593,38.01150513,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.271728516,709,0.01,0,0.00289917,0,0,0.024261475,0,-0.050354004,1667,-0.048980713,0,-0.051116943,1048,-0.076675415,1119,-0.042495728,4/30/24 15:43
71.22253418,28.0743103,70.76451111,71.91107941,11.46392822,19.5974884,12.9571228,37.78811646,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.216644287,931,0.01,0,-0.001373291,0,0,0.025482178,0,-0.049209595,1667,-0.044708252,0,-0.051574707,1048,-0.073318481,1119,-0.045318604,4/30/24 15:43
71.2094574,28.07689285,70.76435852,71.90679169,10.52174282,19.89619446,12.80512905,37.667099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18963623,1104,0.01,0,-0.004501343,0,0,0.019378662,0,-0.048065186,1667,-0.05317688,0,-0.050811768,1048,-0.076675415,1119,-0.037689209,4/30/24 15:43
71.14225769,28.07774353,70.76646423,71.926651,10.93591309,19.78436279,12.86821079,37.57440186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.239944458,1116,0.01,0,-0.007019043,0,0,0.022354126,0,-0.054168701,1667,-0.052032471,0,-0.057067871,1048,-0.079574585,1119,-0.041809082,4/30/24 15:43
71.11991882,28.07535362,70.76124573,71.88874817,10.27978516,19.69165039,11.50739956,37.36019897,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.597137451,190,0.01,0,-0.006790161,0,0,0.022354126,0,-0.051116943,1667,-0.051803589,0,-0.049591064,1048,-0.077972412,1119,-0.045623779,4/30/24 15:43
71.11558533,28.07540894,70.76646423,71.88704681,10.91187954,19.603302,11.64988804,37.41241455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.165222168,412,0.01,0,-0.000991821,0,0,0.022277832,0,-0.04776001,1667,-0.04737854,0,-0.055389404,1048,-0.074768066,1119,-0.042266846,4/30/24 15:43
71.09790039,28.07642555,70.76589203,71.8874054,10.37992954,19.67726135,11.73446655,37.23060608,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.044754028,616,0.01,0,-0.000457764,0,0,0.018157959,0,-0.049057007,1667,-0.050506592,0,-0.051651001,1048,-0.076217651,1119,-0.049362183,4/30/24 15:43
71.0762558,28.07650757,70.7644043,71.88638306,10.90463257,19.59657288,11.99734497,37.15466309,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.802978516,842,0.01,0,-0.000991821,0,0,0.022354126,0,-0.046234131,1667,-0.051574707,0,-0.051498413,1048,-0.079650879,1119,-0.038528442,4/30/24 15:43
71.07441711,28.07532692,70.76467896,71.91954041,10.25587368,19.67495728,11.91238403,37.0168457,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.767883301,1019,0.01,0,0.004653931,0,0,0.019683838,0,-0.049438477,1667,-0.043716431,0,-0.054321289,1048,-0.075302124,1119,-0.043411255,4/30/24 15:43
