ds,tank100_temperature,tank200_temperature,tank300_temperature,tank400_temperature,tank100_pressure,tank200_pressure,tank300_pressure,tank400_pressure,all_tanks_station3_flow_rate,tank100_station4_flow_rate,tank200_station4_flow_rate,tank300_station4_flow_rate,tank400_station4_flow_rate,tank100_station5_flow_rate,tank200_station5_flow_rate,tank300_station5_flow_rate,tank400_station5_flow_rate
4/30/24 15:43,71.16967313,28.07426316,70.80478292,71.99552813,10.11869464,18.3895014,12.05140034,33.76157935,0.337406732,0.01,0.001988525,0.062251756,-0.051610383,0.059914831,0.029642174,0.00970077,0.064243617
4/30/24 15:43,71.16440525,28.07433504,70.80275887,71.99369911,10.12436178,18.41774795,12.0606883,33.81174106,0.337034656,0.01,0.001988819,0.062518916,-0.05154556,0.059771545,0.029473282,0.009423165,0.063826753
4/30/24 15:43,71.16177131,28.07437097,70.80174685,71.9927846,10.12719535,18.43187123,12.06533228,33.83682192,0.336848618,0.01,0.001988967,0.062652496,-0.051513149,0.059699902,0.029388836,0.009284363,0.063618321
4/30/24 15:43,71.1538695,28.07447879,70.79871078,71.99004107,10.13569605,18.47424106,12.07926422,33.9120645,0.336290503,0.01,0.001989409,0.063053236,-0.051415914,0.059484972,0.029135498,0.008867955,0.062993025
4/30/24 15:43,71.15123556,28.07451473,70.79769876,71.98912656,10.13852962,18.48836433,12.0839082,33.93714536,0.336104464,0.01,0.001989556,0.063186817,-0.051383503,0.059413329,0.029051052,0.008729153,0.062784593
4/30/24 15:43,71.14860163,28.07455067,70.79668674,71.98821205,10.14136319,18.50248761,12.08855217,33.96222622,0.335918426,0.01,0.001989703,0.063320397,-0.051351091,0.059341686,0.028966606,0.008590351,0.062576161
4/30/24 15:43,71.14596769,28.0745866,70.79567471,71.98729754,10.14419676,18.51661088,12.09319615,33.98730708,0.335732388,0.01,0.001989851,0.063453977,-0.05131868,0.059270043,0.02888216,0.008451548,0.062367729
4/30/24 15:43,71.14333375,28.07462254,70.79466269,71.98638303,10.14703033,18.53073416,12.09784013,34.01238794,0.33554635,0.01,0.001989998,0.063587557,-0.051286268,0.0591984,0.028797714,0.008312746,0.062159297
4/30/24 15:43,71.14069981,28.07465848,70.79365067,71.98546852,10.1498639,18.54485743,12.10248411,34.0374688,0.335360311,0.01,0.001990146,0.063721137,-0.051253857,0.059126757,0.028713268,0.008173944,0.061950865
4/30/24 15:43,71.13543194,28.07473036,70.79162662,71.9836395,10.15553104,18.57310398,12.11177207,34.08763052,0.334988235,0.01,0.00199044,0.063988297,-0.051189034,0.058983471,0.028544376,0.007896339,0.061534001
4/30/24 15:43,71.132798,28.0747663,70.7906146,71.98272499,10.1583646,18.58722726,12.11641605,34.11271138,0.334802196,0.01,0.001990588,0.064121878,-0.051156622,0.058911827,0.02845993,0.007757537,0.061325569
4/30/24 15:43,71.13016407,28.07480224,70.78960258,71.98181048,10.16119817,18.60135053,12.12106002,34.13779224,0.334616158,0.01,0.001990735,0.064255458,-0.051124211,0.058840184,0.028375484,0.007618734,0.061117137
4/30/24 15:43,71.12753013,28.07483817,70.78859056,71.98089597,10.16403174,18.61547381,12.125704,34.1628731,0.33443012,0.01,0.001990882,0.064389038,-0.051091799,0.058768541,0.028291038,0.007479932,0.060908705
4/30/24 15:43,71.12489619,28.07487411,70.78757853,71.97998146,10.16686531,18.62959709,12.13034798,34.18795396,0.334244082,0.01,0.00199103,0.064522618,-0.051059388,0.058696898,0.028206592,0.00734113,0.060700272
4/30/24 15:43,71.12226225,28.07491005,70.78656651,71.97906695,10.16969888,18.64372036,12.13499196,34.21303481,0.334058043,0.01,0.001991177,0.064656198,-0.051026976,0.058625255,0.028122146,0.007202327,0.06049184
4/30/24 15:43,71.11962832,28.07494599,70.78555449,71.97815244,10.17253245,18.65784364,12.13963594,34.23811567,0.333872005,0.01,0.001991324,0.064789778,-0.050994565,0.058553612,0.0280377,0.007063525,0.060283408
4/30/24 15:43,71.11699438,28.07498193,70.78454246,71.97723793,10.17536602,18.67196691,12.14427992,34.26319653,0.333685967,0.01,0.001991472,0.064923358,-0.050962154,0.058481969,0.027953254,0.006924723,0.060074976
4/30/24 15:43,71.1117265,28.0750538,70.78251842,71.97540891,10.18103315,18.70021346,12.15356788,34.31335825,0.33331389,0.01,0.001991766,0.065190519,-0.050897331,0.058338682,0.027784361,0.006647118,0.059658112
4/30/24 15:43,71.10909257,28.07508974,70.7815064,71.9744944,10.18386672,18.71433674,12.15821185,34.33843911,0.333127852,0.01,0.001991914,0.065324099,-0.050864919,0.058267039,0.027699915,0.006508316,0.05944968
4/30/24 15:43,71.10645863,28.07512568,70.78049437,71.97357989,10.18670029,18.72846001,12.16285583,34.36351997,0.332941813,0.01,0.001992061,0.065457679,-0.050832508,0.058195396,0.027615469,0.006369513,0.059241248
4/30/24 15:43,71.10382469,28.07516162,70.77948235,71.97266538,10.18953386,18.74258329,12.16749981,34.38860083,0.332755775,0.01,0.001992208,0.065591259,-0.050800096,0.058123753,0.027531023,0.006230711,0.059032816
4/30/24 15:43,71.10119075,28.07519756,70.77847033,71.97175087,10.19236743,18.75670656,12.17214379,34.41368169,0.332569737,0.01,0.001992356,0.065724839,-0.050767685,0.05805211,0.027446577,0.006091909,0.058824384
4/30/24 15:43,71.09855682,28.0752335,70.7774583,71.97083636,10.195201,18.77082984,12.17678777,34.43876255,0.332383699,0.01,0.001992503,0.065858419,-0.050735273,0.057980467,0.027362131,0.005953106,0.058615952
